ticket_id,opened_date,order_id,sku,channel,customer_message,category,risk_level,agent_note
CS-26-031,2026-08-07,AMZ-2607-0091,BG-G2-GRN,Amazon message,How do I set it for pour over? I am following up after reviewing the order details.,usage_question,Low,Provide the product-guide steps; do not promise an exact click count.
CS-26-032,2026-08-08,AMZ-2607-0094,BG-G2-CRM,Email,Tracking has not moved for eight days. I am following up after reviewing the order details.,shipping_delay,Medium,Check carrier event before any replacement promise.
CS-26-033,2026-08-01,AMZ-2607-0097,BG-G2-SLV-GFT,Email,The glass cup is chipped out of the box and I need it for a gift this weekend. I am following up after reviewing the order details.,damage,High,Photo and order verification required before remedy.
CS-26-034,2026-08-02,AMZ-2607-0100,BG-G2-SLV,Email,Your page said quiet and this is loud when I crank it. I am following up after reviewing the order details.,listing_complaint,High,Do not dispute; flag Listing wording for human review.
CS-26-035,2026-08-03,AMZ-2607-0103,BG-G2-BLK-GFT,Email,I thought this was an electric coffee grinder. I want a refund. I am following up after reviewing the order details.,return_request,High,Listing expectation risk; refund action needs human confirmation.
CS-26-036,2026-08-04,AMZ-2607-0106,BG-G2-BLK,Amazon message,The handle came loose. Can you send a new one today? I am following up after reviewing the order details.,quality,Medium,Verify address/order and warranty policy; no same-day promise.
CS-26-037,2026-08-05,AMZ-2607-0109,BG-G2-BLU,Email,I used it once and want to return it because espresso takes too much effort. I am following up after reviewing the order details.,return_request,Medium,Explain usage limit only if policy verified; avoid sales-pressure wording.
CS-26-038,2026-08-06,AMZ-2607-0112,BG-G2-GRN,Email,"If no one responds, I will open an Amazon A-to-z claim. I am following up after reviewing the order details.",platform_risk,Critical,Escalate to human immediately; do not offer unapproved compensation.
CS-26-039,2026-08-07,AMZ-2607-0115,BG-G2-CRM,Email,There was dark residue near the burr. Is it safe? I am following up after reviewing the order details.,safety_concern,Critical,Escalate for quality review; do not make food-safety claim.
CS-26-040,2026-08-08,AMZ-2607-0118,BG-G2-SLV-GFT,Email,Can it grind spices too? I am following up after reviewing the order details.,usage_question,Medium,Product is positioned for coffee beans; avoid claiming spice compatibility.
